Variable,Protein,Protein_meaning,Protein_panel
a1bg,A1BG,Alpha-1B-glycoprotein,Inflammation_II
aamdc,AAMDC,Mth938 domain-containing protein,Cardiometabolic_II
aarsd1,AARSD1,Alanyl-tRNA editing protein Aarsd1,Oncology
abca2,ABCA2,ATP-binding cassette sub-family A member 2,Cardiometabolic_II
abhd14b,ABHD14B,Protein ABHD14B,Neurology
abl1,ABL1,Tyrosine-protein kinase ABL1,Oncology
abo,ABO,Histo-blood group ABO system transferase,Inflammation_II
abraxas2,ABRAXAS2,BRISC complex subunit Abraxas 2,Cardiometabolic_II
acaa1,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",Oncology
acadm,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Oncology_II
acadsb,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Cardiometabolic_II
acan,ACAN,Aggrecan core protein,Cardiometabolic
ace,ACE,Angiotensin-converting enzyme,Inflammation_II
ace2,ACE2,Angiotensin-converting enzyme 2,Cardiometabolic
ache,ACHE,Acetylcholinesterase,Inflammation_II
acot13,ACOT13,Acyl-coenzyme A thioesterase 13,Oncology_II
acox1,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,Cardiometabolic
acp1,ACP1,Low molecular weight phosphotyrosine protein phosphatase,Inflammation_II
acp5,ACP5,Tartrate-resistant acid phosphatase type 5,Cardiometabolic
acp6,ACP6,Lysophosphatidic acid phosphatase type 6,Oncology
acrbp,ACRBP,Acrosin-binding protein,Oncology_II
acrv1,ACRV1,Acrosomal protein SP-10,Inflammation_II
acsl1,ACSL1,Long-chain-fatty-acid--CoA ligase 1,Cardiometabolic_II
acta2,ACTA2,"Actin, aortic smooth muscle",Cardiometabolic
actn2,ACTN2,Alpha-actinin-2,Cardiometabolic_II
actn4,ACTN4,Alpha-actinin-4,Inflammation
acvrl1,ACVRL1,Serine/threonine-protein kinase receptor R3,Neurology
acy1,ACY1,Aminoacylase-1,Cardiometabolic
acy3,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,Cardiometabolic_II
acyp1,ACYP1,Acylphosphatase-1,Inflammation_II
ada,ADA,Adenosine deaminase,Inflammation
ada2,ADA2,Adenosine deaminase 2,Cardiometabolic
adam12,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,Inflammation_II
adam15,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Cardiometabolic
adam22,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,Neurology
adam23,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,Inflammation
adam8,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Neurology
adam9,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Oncology_II
adamts1,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,Inflammation_II
adamts13,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,Cardiometabolic
adamts15,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,Oncology
adamts16,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,Cardiometabolic
adamts4,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,Inflammation_II
adamts8,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,Oncology
adamtsl2,ADAMTSL2,ADAMTS-like protein 2,Cardiometabolic_II
adamtsl4,ADAMTSL4,ADAMTS-like protein 4,Cardiometabolic_II
adamtsl5,ADAMTSL5,ADAMTS-like protein 5,Cardiometabolic_II
adcyap1r1,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,Oncology
add1,ADD1,Alpha-adducin,Inflammation_II
adgrb3,ADGRB3,Adhesion G protein-coupled receptor B3,Neurology
adgrd1,ADGRD1,Adhesion G-protein coupled receptor D1,Inflammation_II
adgre1,ADGRE1,Adhesion G protein-coupled receptor E1,Oncology_II
adgre2,ADGRE2,Adhesion G protein-coupled receptor E2,Inflammation
adgre5,ADGRE5,Adhesion G protein-coupled receptor E5,Cardiometabolic
adgrf5,ADGRF5,Adhesion G protein-coupled receptor F5,Cardiometabolic_II
adgrg1,ADGRG1,Adhesion G-protein coupled receptor G1,Oncology
adgrg2,ADGRG2,Adhesion G-protein coupled receptor G2,Cardiometabolic
adgrv1,ADGRV1,Adhesion G-protein coupled receptor V1,Neurology_II
adh1b,ADH1B,All-trans-retinol dehydrogenase,Inflammation_II
adh4,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Cardiometabolic
adipoq,ADIPOQ,Adiponectin,Inflammation_II
adm,ADM,Pro-adrenomedullin,Oncology
adra2a,ADRA2A,Alpha-2A adrenergic receptor,Cardiometabolic_II
afap1,AFAP1,Actin filament-associated protein 1,Inflammation_II
afm,AFM,Afamin,Inflammation_II
afp,AFP,Alpha-fetoprotein,Neurology
agbl2,AGBL2,Cytosolic carboxypeptidase 2,Neurology_II
ager,AGER,Advanced glycosylation end product-specific receptor,Inflammation
agr2,AGR2,Anterior gradient protein 2 homolog,Neurology
agr3,AGR3,Anterior gradient protein 3,Oncology
agrn,AGRN,Agrin,Inflammation
agrp,AGRP,Agouti-related protein,Inflammation
agt,AGT,Angiotensinogen,Inflammation_II
agxt,AGXT,Serine--pyruvate aminotransferase,Cardiometabolic
ahcy,AHCY,Adenosylhomocysteinase,Cardiometabolic
ahnak,AHNAK,Neuroblast differentiation-associated protein AHNAK,Cardiometabolic_II
ahnak2,AHNAK2,Protein AHNAK2,Cardiometabolic_II
ahsa1,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,Oncology_II
ahsg,AHSG,Alpha-2-HS-glycoprotein,Inflammation_II
ahsp,AHSP,Alpha-hemoglobin-stabilizing protein,Neurology
aida,AIDA,"Axin interactor, dorsalization-associated protein",Neurology_II
aif1,AIF1,Allograft inflammatory factor 1,Oncology
aif1l,AIF1L,Allograft inflammatory factor 1-like,Cardiometabolic_II
aifm1,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",Oncology
ak1,AK1,Adenylate kinase isoenzyme 1,Cardiometabolic
ak2,AK2,"Adenylate kinase 2, mitochondrial",Neurology_II
akap12,AKAP12,A-kinase anchor protein 12,Inflammation_II
akr1b1,AKR1B1,Aldo-keto reductase family 1 member B1,Oncology
akr1b10,AKR1B10,Aldo-keto reductase family 1 member B10,Neurology_II
akr1c4,AKR1C4,Aldo-keto reductase family 1 member C4,Cardiometabolic
akr7l,AKR7L,Aflatoxin B1 aldehyde reductase member 4,Inflammation_II
akt1s1,AKT1S1,Proline-rich AKT1 substrate 1,Neurology
akt2,AKT2,RAC-beta serine/threonine-protein kinase,Neurology_II
akt3,AKT3,RAC-gamma serine/threonine-protein kinase,Oncology
alcam,ALCAM,CD166 antigen,Cardiometabolic
aldh1a1,ALDH1A1,Retinal dehydrogenase 1,Neurology
aldh2,ALDH2,"Aldehyde dehydrogenase, mitochondrial",Oncology_II
