Variable	Protein	Protein_meaning
a1bg	A1BG	Alpha-1B-glycoprotein
aamdc	AAMDC	Mth938 domain-containing protein
aarsd1	AARSD1	Alanyl-tRNA editing protein Aarsd1
abca2	ABCA2	ATP-binding cassette sub-family A member 2
abhd14b	ABHD14B	Protein ABHD14B
abl1	ABL1	Tyrosine-protein kinase ABL1
abo	ABO	Histo-blood group ABO system transferase
abraxas2	ABRAXAS2	BRISC complex subunit Abraxas 2
acaa1	ACAA1	"3-ketoacyl-CoA thiolase, peroxisomal"
acadm	ACADM	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
acadsb	ACADSB	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
acan	ACAN	Aggrecan core protein
ace	ACE	Angiotensin-converting enzyme
ace2	ACE2	Angiotensin-converting enzyme 2
ache	ACHE	Acetylcholinesterase
acot13	ACOT13	Acyl-coenzyme A thioesterase 13
acox1	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1
acp1	ACP1	Low molecular weight phosphotyrosine protein phosphatase
acp5	ACP5	Tartrate-resistant acid phosphatase type 5
acp6	ACP6	Lysophosphatidic acid phosphatase type 6
acrbp	ACRBP	Acrosin-binding protein
acrv1	ACRV1	Acrosomal protein SP-10
acsl1	ACSL1	Long-chain-fatty-acid--CoA ligase 1
acta2	ACTA2	"Actin, aortic smooth muscle"
actn2	ACTN2	Alpha-actinin-2
actn4	ACTN4	Alpha-actinin-4
acvrl1	ACVRL1	Serine/threonine-protein kinase receptor R3
acy1	ACY1	Aminoacylase-1
acy3	ACY3	N-acyl-aromatic-L-amino acid amidohydrolase
acyp1	ACYP1	Acylphosphatase-1
ada	ADA	Adenosine deaminase
ada2	ADA2	Adenosine deaminase 2
adam12	ADAM12	Disintegrin and metalloproteinase domain-containing protein 12
adam15	ADAM15	Disintegrin and metalloproteinase domain-containing protein 15
adam22	ADAM22	Disintegrin and metalloproteinase domain-containing protein 22
adam23	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23
adam8	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8
adam9	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9
adamts1	ADAMTS1	A disintegrin and metalloproteinase with thrombospondin motifs 1
adamts13	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13
adamts15	ADAMTS15	A disintegrin and metalloproteinase with thrombospondin motifs 15
adamts16	ADAMTS16	A disintegrin and metalloproteinase with thrombospondin motifs 16
adamts4	ADAMTS4	A disintegrin and metalloproteinase with thrombospondin motifs 4
adamts8	ADAMTS8	A disintegrin and metalloproteinase with thrombospondin motifs 8
adamtsl2	ADAMTSL2	ADAMTS-like protein 2
adamtsl4	ADAMTSL4	ADAMTS-like protein 4
adamtsl5	ADAMTSL5	ADAMTS-like protein 5
adcyap1r1	ADCYAP1R1	Pituitary adenylate cyclase-activating polypeptide type I receptor
add1	ADD1	Alpha-adducin
adgrb3	ADGRB3	Adhesion G protein-coupled receptor B3
adgrd1	ADGRD1	Adhesion G-protein coupled receptor D1
adgre1	ADGRE1	Adhesion G protein-coupled receptor E1
adgre2	ADGRE2	Adhesion G protein-coupled receptor E2
adgre5	ADGRE5	Adhesion G protein-coupled receptor E5
adgrf5	ADGRF5	Adhesion G protein-coupled receptor F5
adgrg1	ADGRG1	Adhesion G-protein coupled receptor G1
adgrg2	ADGRG2	Adhesion G-protein coupled receptor G2
adgrv1	ADGRV1	Adhesion G-protein coupled receptor V1
adh1b	ADH1B	All-trans-retinol dehydrogenase
adh4	ADH4	All-trans-retinol dehydrogenase [NAD(+)] ADH4
adipoq	ADIPOQ	Adiponectin
adm	ADM	Pro-adrenomedullin
adra2a	ADRA2A	Alpha-2A adrenergic receptor
afap1	AFAP1	Actin filament-associated protein 1
afm	AFM	Afamin
afp	AFP	Alpha-fetoprotein
agbl2	AGBL2	Cytosolic carboxypeptidase 2
ager	AGER	Advanced glycosylation end product-specific receptor
agr2	AGR2	Anterior gradient protein 2 homolog
agr3	AGR3	Anterior gradient protein 3
agrn	AGRN	Agrin
agrp	AGRP	Agouti-related protein
agt	AGT	Angiotensinogen
agxt	AGXT	Serine--pyruvate aminotransferase
ahcy	AHCY	Adenosylhomocysteinase
ahnak	AHNAK	Neuroblast differentiation-associated protein AHNAK
ahnak2	AHNAK2	Protein AHNAK2
ahsa1	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1
ahsg	AHSG	Alpha-2-HS-glycoprotein
ahsp	AHSP	Alpha-hemoglobin-stabilizing protein
aida	AIDA	"Axin interactor, dorsalization-associated protein"
aif1	AIF1	Allograft inflammatory factor 1
aif1l	AIF1L	Allograft inflammatory factor 1-like
aifm1	AIFM1	"Apoptosis-inducing factor 1, mitochondrial"
ak1	AK1	Adenylate kinase isoenzyme 1
ak2	AK2	"Adenylate kinase 2, mitochondrial"
akap12	AKAP12	A-kinase anchor protein 12
akr1b1	AKR1B1	Aldo-keto reductase family 1 member B1
akr1b10	AKR1B10	Aldo-keto reductase family 1 member B10
akr1c4	AKR1C4	Aldo-keto reductase family 1 member C4
akr7l	AKR7L	Aflatoxin B1 aldehyde reductase member 4
akt1s1	AKT1S1	Proline-rich AKT1 substrate 1
akt2	AKT2	RAC-beta serine/threonine-protein kinase
akt3	AKT3	RAC-gamma serine/threonine-protein kinase
alcam	ALCAM	CD166 antigen
aldh1a1	ALDH1A1	Retinal dehydrogenase 1
aldh2	ALDH2	"Aldehyde dehydrogenase, mitochondrial"
aldh3a1	ALDH3A1	"Aldehyde dehydrogenase, dimeric NADP-preferring"
aldh5a1	ALDH5A1	"Succinate-semialdehyde dehydrogenase, mitochondrial"
alms1	ALMS1	Alstrom syndrome protein 1
alpi	ALPI	Intestinal-type alkaline phosphatase
alpp	ALPP	"Alkaline phosphatase, placental type"
ambn	AMBN	Ameloblastin
ambp	AMBP	Protein AMBP
amdhd2	AMDHD2	N-acetylglucosamine-6-phosphate deacetylase
amfr	AMFR	E3 ubiquitin-protein ligase AMFR
amigo1	AMIGO1	Amphoterin-induced protein 1
amigo2	AMIGO2	Amphoterin-induced protein 2
amn	AMN	Protein amnionless
amot	AMOT	Angiomotin
amotl2	AMOTL2	Angiomotin-like protein 2
ampd3	AMPD3	AMP deaminase 3
amy1a_amy1b_amy1c	AMY1A_AMY1B_AMY1C	Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C
amy2a	AMY2A	Pancreatic alpha-amylase
amy2b	AMY2B	Alpha-amylase 2B
ang	ANG	Angiogenin
angpt1	ANGPT1	Angiopoietin-1
angpt2	ANGPT2	Angiopoietin-2
angptl1	ANGPTL1	Angiopoietin-related protein 1
angptl2	ANGPTL2	Angiopoietin-related protein 2
angptl3	ANGPTL3	Angiopoietin-related protein 3
