UKBPPP ProteinID,Olink ID,Assay Target,Protein panel,Gene symbol,UniProt,Gene CHROM,Gene start,Gene end,Dilution factor,% of samples below LOD,Coefficient of variation (median %),% of data failing QC,ICC (interclass correlation) of sample age 
A1BG:P04217:OID30771:v1,OID30771,A1BG,Inflammation_II,A1BG,P04217,19,58345178,58353492,1:100000,0.08%,3.91,0.00%,0.003475
AAMDC:Q9H7C9:OID30236:v1,OID30236,AAMDC,Cardiometabolic_II,AAMDC,Q9H7C9,11,77821109,77918432,1:01,0.82%,5.37,0.00%,0.048915
AARSD1:Q9BTE6:OID21311:v1,OID21311,AARSD1,Oncology,AARSD1,Q9BTE6,17,42950526,42964498,1:01,0.04%,4.72,0.00%,0.092459
ABCA2:Q9BZC7:OID30146:v1,OID30146,ABCA2,Cardiometabolic_II,ABCA2,Q9BZC7,9,137007234,137028915,1:01,3.15%,12.06,0.00%,0.003752
ABHD14B:Q96IU4:OID20921:v1,OID20921,ABHD14B,Neurology,ABHD14B,Q96IU4,3,51968510,51983409,1:01,0.03%,8.8,0.30%,0.07072
ABL1:P00519:OID21280:v1,OID21280,ABL1,Oncology,ABL1,P00519,9,130713016,130887675,1:01,0.04%,6.1,0.00%,0.100211
ABO:P16442:OID30675:v1,OID30675,ABO,Inflammation_II,ABO,P16442,9,133233278,133276024,0.736111111,45.15%,5.9,0.00%,0.02895
ABRAXAS2:Q15018:OID30130:v1,OID30130,ABRAXAS2,Cardiometabolic_II,ABRAXAS2,Q15018,10,124801819,124836667,1:01,11.09%,9.85,0.00%,0.069199
ACAA1:P09110:OID21269:v1,OID21269,ACAA1,Oncology,ACAA1,P09110,3,38103129,38137242,1:01,17.01%,13.22,0.00%,0.017768
ACADM:P11310:OID31277:v1,OID31277,ACADM,Oncology_II,ACADM,P11310,1,75724431,75787575,1:01,70.68%,7.44,0.00%,0.005843
ACADSB:P45954:OID30356:v1,OID30356,ACADSB,Cardiometabolic_II,ACADSB,P45954,10,123008979,123058290,1:10,4.79%,17.86,0.00%,0.036854
ACAN:P16112:OID20159:v1,OID20159,ACAN,Cardiometabolic,ACAN,P16112,15,88803436,88875353,1:10,0.13%,6.17,0.90%,0.005949
ACE:P12821:OID30696:v1,OID30696,ACE,Inflammation_II,ACE,P12821,17,63477061,63498380,0.736111111,70.61%,6.19,0.00%,0.007473
ACE2:Q9BYF1:OID20105:v1,OID20105,ACE2,Cardiometabolic,ACE2,Q9BYF1,X,15494566,15607236,1:01,0.04%,6.41,0.00%,0.005343
ACHE:P22303:OID30585:v1,OID30585,ACHE,Inflammation_II,ACHE,P22303,7,100889994,100896974,1:10,0.06%,5.17,0.00%,0.010369
ACOT13:Q9NPJ3:OID31522:v1,OID31522,ACOT13,Oncology_II,ACOT13,Q9NPJ3,6,24667035,24705065,1:01,0.40%,14.8,0.00%,0.054318
ACOX1:Q15067:OID20124:v1,OID20124,ACOX1,Cardiometabolic,ACOX1,Q15067,17,75941507,75979177,1:10,67.78%,11.72,0.00%,0.023884
ACP1:P24666:OID30524:v1,OID30524,ACP1,Inflammation_II,ACP1,P24666,2,264140,278283,1:01,22.54%,7.81,0.00%,0.036246
ACP5:P13686:OID20314:v1,OID20314,ACP5,Cardiometabolic,ACP5,P13686,19,11574660,11579008,0.111111111,0.03%,4.89,0.75%,0.006369
ACP6:Q9NPH0:OID21432:v1,OID21432,ACP6,Oncology,ACP6,Q9NPH0,1,147629652,147670524,1:01,0.06%,3.6,0.15%,0.006722
